language_code,language_name,latitude,longitude
1,Nyaki Nyaki ,-32.39094519,118.7550827
2,Ngurlu,,
3,Mardo,,
4,Naaguja,-28.1355411,114.7644712
5,Pindiini,-29.46595664,127.7662611
6,Wangkatja,-29.86593028,122.698712
7,Pijikala,,
8,Nangu,,
9,Najanaja,,
10,Nawurtu,,
11,Nankilakuthu,,
12,Martuyitha,,
13,Waljen,-29.231154,122.7229745
14,Marlba,,
15,Windaga,,
16,Ngoonooru,,
17,Byro Wajarri,,
18,Mileura Wajarri,,
19,Nharnu,,
20,Nyiyaparli Padupadu,,
21,Banyjima Padupadu,,
22,Ngarrka,,
23,Kurdun,,
24,Wangkatha,-29.77825242,121.9180727
25,Yirrakalan,,
26,Ngardi,,
27,Kakutu ,,
28,Ngulatu ,,
29,Widi,-28.82675757,116.721527
30,Badimaya,-28.59330827,117.1853249
31,Kuwarra,-28.1820317,120.3453645
32,Nangadadjara ,-28.68370166,124.8034463
33,Muliara,,
34,Wardal,,
35,Kalarku,-32.11021775,121.4875755
36,Wilyara,-26.79961161,120.4156881
37,Gula,-27.99046025,122.7020083
38,Marawa,-28.77151428,125.3463879
39,Mangula,,
40,Gurduwanga,-25.66881645,117.5473826
41,Birniridjara,,
42,Djalgandi,-27.64572816,122.973062
43,Mudalga,-27.75221032,123.6548741
44,Bunggura,-27.28614141,130.4633711
45,Wawula,-25.01014047,121.1196452
46,Ngadjumaya ,-32.32466432,123.7411955
47,Ngadawanga,-26.40174013,119.5797048
48,Tjupan,-27.11795547,120.5664224
49,Nakako,-27.22284277,128.5109142
50,Mangu,-25.57987993,119.7750311
51,Konin,,
52,Milamada,,
53,Nanadjara,-26.06406529,123.4876394
54,Ngaanyatjarra,-25.8004324,127.3534575
55,Widjandja,,
56,Wajarri ,-26.10023039,116.9930825
57,Wadiwangga,,
58,Kalaamaya,-30.26369153,119.0129788
59,Birdungu,,
60,Madoidja,,
61,Tjitijamba,,
62,Ngaatjatjarra,-25.08112519,128.5419926
63,Djungurdja,,
64,Wirdinya,-23.83364083,120.4708263
65,Nungara,-30.28873663,120.5950126
66,Nyiyaparli,-22.92418558,120.1964725
67,Kartujarra,-23.28296268,122.0625362
68,Kiyajarra,-23.51038415,125.9526596
69,Banyjima,-22.74313267,118.3730032
70,Putijarra,-26.55892906,120.9083972
71,Palyku,-22.23908916,120.1608398
72,Dargudi,-23.06937606,121.0457235
73,Nyamal,-21.22018938,120.029409
74,Ibarga,-21.2417912,122.3086586
75,Maduwongga,-23.35091166,123.6684224
76,Widagari,-21.32798952,120.6393666
77,Nyangumarta,-20.47942077,122.0289589
78,Warnman,-22.2347888,123.0524111
79,Waringari,,
80,Karajarri,-18.81736968,122.3226214
81,Mangala,-19.63994907,123.9677472
82,Walmajarri,-19.46737317,126.1512518
83,Yulparija,-21.18399715,124.9545013
84,Kukatja,-20.4894475,127.0238704
85,Bunara,-20.70930386,129.0464562
86,Tjeraridjal,-30.43185108,123.7831818
87,Wadjiba,,
88,Nhugarn,-25.80499882,115.4762242
89,Ngurlipartu,-21.24327236,122.3284999
90,Walyirli,-20.05851321,121.8962409
91,Frazer Range,-32.175364,123.4744655
92,Bundjuwanga,-21.08759624,119.3971991
93,Pantikura,-22.55780241,118.5042538
94,Mijaranypa,-22.99968937,118.1452752
95,Yinhawangka ,-24.45577843,119.0782641
96,Murunitja,-30.30238579,126.0307175
97,Western Desert language,-26.33733782,127.1081071
98,Mount Margaret,,
99,Wirdjaragandja,-26.30487938,131.9110761
100,Njangadjadjara,-30.68216031,131.4921161
101,Tarpuntjari,,
102,Kurajarra,-22.9095914,122.3629167
103,Martu Wangka,,
104,Wangkajunga,-20.57646586,126.5032336
105,Juwaliny,-20.64372967,124.6987972
106,Pililuna,-19.66674636,127.6004663
107,Mirning,-31.29303042,128.1534933
108,Nyanyany,,
109,Nyardi,-18.62299162,125.2755039
110,Tjapanmay,-30.96389272,117.0541107
111,Nhanhagardi,-29.21759681,115.2749592
112,Witjaari,-31.7559692,116.2100524
113,Natingero,-29.37382415,118.3669993
114,Mandara,-23.36443632,119.2811247
115,Cheangwa language,-27.49908684,116.4015535
116,Kuntal,,
117,Norseman,-32.24150202,121.7626144
118,Wirangu,-31.53598772,133.5220741
119,Pintupi,-23.37009684,127.5817031
120,Yumu,,
121,Antekerrepenhe,-22.75390814,137.6206039
122,Kaytetye,-21.01987409,134.0695025
123,Alyawarr,-21.948371,135.5344463
124,Warlpiri,-20.43359561,131.0524093
125,Wakirti Warlpiri,-20.67209332,133.0945288
126,Wakaya,-20.15290759,136.1691472
127,Warlmanpa,-19.24962654,132.8710073
128,Warumungu,-19.60271266,134.5051818
129,Wambaya,-18.17305531,135.4310501
130,Ngalia,-29.19837154,129.4800333
131,Gurindji,-17.46211282,129.8075984
132,Pinkangarna,,
133,Jingulu,-17.35076527,133.7015129
134,Gunindirri,-17.66922781,136.8446522
135,Manu,,
136,Mudburra,-17.44031006,131.9096227
137,Gudanji,-16.980617,135.255653
138,Ngarinyman,-16.59038008,130.2551773
139,Akarre,-22.84250667,135.3629918
140,Lower Arrernte,-25.95457191,135.3928072
141,Kokatha,-29.65944536,133.4153573
142,Eastern Gurindji,-17.74853451,130.4059014
143,Eastern Mudburra,-17.55747282,131.9955177
144,Eastern Ngarinyman,-16.55603846,130.5117546
145,Karranga,-16.21455837,131.3606302
146,Kartangarurru,-19.25030503,130.4807254
147,Kuwarranyji,-16.72094035,132.3365622
148,Western Mudburra,-16.76736404,131.4545549
149,Wurlayi,-16.34158581,129.6478241
150,Ngardilypa,-19.6234758,129.7355985
151,Wawulya,-21.80471001,130.0438684
152,Yankunytjatjara,-26.62369368,132.2605529
153,Warnayaka,-19.73870488,130.703069
154,Yarlpiri,-20.48362875,132.1319749
155,Warrmarla,-20.50942118,129.7478641
156,Ngaliya,-21.80869809,131.1867126
157,Wenamba,-23.70842468,128.7492416
158,Nyiwanawu,-16.3392093,129.6823194
159,Pertame,,
160,Western Arrarnta,,
161,Antikarinya,-27.02978902,134.0166357
162,Pitjantjatjara,-25.66411506,130.0655038
163,Luritja,-24.94708497,133.1519028
164,Arrernte,-23.91276975,134.2609232
165,Anmatyerr,-22.25465276,133.2622529
166,Wanggamala,,
167,Wemba Wemba,-35.34122157,144.141905
168,Wiradjuri,-33.90918016,147.2573464
169,Pulaali,-31.48957662,141.7697941
170,Paakantyi ,-31.63317508,142.7779861
171,Wiljali,,
172,Thangkaali,-33.19407773,140.5364068
173,Guyinbaraay,-31.0837662,149.5999617
174,Wilyakali,-31.94801137,140.9901883
175,Pantyikali,-30.49041055,142.6846524
176,Wangaaypuwan,-31.4133463,145.8190896
177,Nhaawuparlku,-30.97050337,144.1661644
178,Yorta Yorta,-36.09392971,145.2635799
179,Wayilwan,-31.01810658,148.0268205
180,Wanyuparlku,-31.90096414,142.3424848
181,Ngiyampaa ,-31.27026424,146.704555
182,Gamilaraay,-29.72305819,149.8333724
183,Southern Anaiwan,-30.7098681,151.3524683
184,Kurnu,-29.75977753,145.3308111
185,Barranbinya,-29.78022934,146.2686559
186,Wiriyaraay,-29.11287083,150.6214094
187,Gambuwal,-28.61886109,151.4415609
188,Ngunawal ,-34.98029551,149.0870952
189,Kalili,-28.36614352,143.5314931
190,Budjari ,-28.43364116,145.2278033
191,Muruwari ,-29.06817925,145.7980905
192,Guwamu,-28.41455229,147.7249188
193,Bigambul,-28.14139289,150.174827
194,Guyambal,-29.34051588,151.2486019
195,Geynyan,-28.18347613,152.1836091
196,Gunggari,-27.36809848,146.9602124
197,Kogai,-27.42337859,147.9422236
198,Gawambaraay,-28.6219307,150.3248956
199,Wadi Wadi,-35.0866431,143.3704571
200,Barunggam,-26.79506641,150.4467729
201,Giabal,-27.69038241,151.7555301
202,Margany ,-27.27294762,144.5774105
203,Gunya,-26.78474267,146.1613436
204,Mandandanji,-27.01765413,148.5017274
205,Wadjalang ,-25.63531758,145.2718665
206,Nguri,-25.60232388,147.8023772
207,Paaruntyi,-29.45822263,144.3145896
208,Parrintyi,-32.81793804,143.5271058
209,Kungakuri,-29.10545282,146.3952077
210,Barababaraba,-35.6737029,144.6113764
211,Nuntukuri,-29.87173109,145.9524418
212,Purukuri,-29.72039488,144.2664624
213,Thinuntu,-29.83928282,146.3256832
214,Kuntakuri,-29.29726957,146.9078775
215,Yuwaalayaay,-29.60440833,147.5403442
216,Waalaraay,,
217,Muringam,,
218,Weraeria,,
219,Jeithi,-35.51201017,145.9813226
220,Milpulo,-31.80848785,142.4141657
221,Marrawarra,-33.6663629,141.4486458
222,Kureinji,-34.23140408,142.4216531
223,Wirriwirri,,
224,Southern Paakantyi,-32.72158778,142.5650997
225,Canberra language,-35.47495744,148.9984957
226,Northern Dharawal,,
227,Northern Anaiwan,-30.12755232,151.4762715
228,Wirraayaraay,-32.09839624,148.58653
229,Wirraay-wirraay,-28.21952692,148.197097
230,Wadi Wadi,,
231,Burabura,,
232,Himberrong,,
233,Yitha Yitha,-33.87318608,143.9409128
234,Inuwon,,
235,Galali,,
236,Mutti Mutti ,-33.75315605,142.7217453
237,Nari Nari,-34.41868713,144.4000271
238,Geawegal,-32.51979857,151.211697
239,Yaygirr,-29.68672297,153.1878436
240,Yugambal,-29.75744124,151.0501143
241,Bundjalung,-29.25126135,153.0751537
242,Arakwal,,
243,Gidhabal,-28.50105723,152.3203455
244,Galibal,-28.53326435,152.866814
245,Wiyabal,-29.30802878,152.2282249
246,Dinggabal,-28.73775281,152.2844378
247,Wahlubal,-28.88761184,152.5079219
248,Yugambeh,-28.09452769,152.981256
249,Minyangbal,-28.55438964,153.4981194
250,Jandai,-27.77289008,153.3991044
251,Warrimay,-32.48684113,151.9969464
252,Duungidjawu,-26.97314864,152.5741404
253,Moondjan,-27.47215729,153.4690786
254,Ngoera,-27.0690521,152.3593426
255,Yugara,-27.70854514,152.5468407
256,Buyibara,-27.22108106,152.9281923
257,Dalla,-26.77542365,152.6684343
258,Gowar,-27.16768654,153.4003411
259,Djagunda,-26.05034841,150.8351369
260,Wakka Wakka,-26.45133412,151.903029
261,Gubbi Gubbi,-26.0056033,152.6675373
262,Birrbay,-31.64695142,152.134016
263,Butchulla,-25.33722004,153.0328201
264,Yiman,-25.58902937,149.5770984
265,Gooreng Gooreng,-24.90480069,151.790315
266,Taribelang,-24.80733136,152.0388992
267,Gungabula,-25.59957324,148.6437252
268,Goeng Goeng,-24.26688582,151.6816877
269,Bidjara ,-24.90318659,147.1213069
270,Garingbal,-23.33016135,149.1337003
271,Wadjigu,-24.80852364,148.5733526
272,Ngaku,-31.06953469,152.9340119
273,Gangulu,-24.18606975,150.151432
274,Tulua,-24.38985217,150.9990002
275,Bayali,-23.64369074,150.8852368
276,Yagalingu,-23.156858,146.6329386
277,Gayiri,-23.79398017,147.8977311
278,Gabulbarra,-22.86863759,148.7252279
279,Dharumbal,-22.71568351,150.0600456
280,Wangan,-22.79716328,147.6085897
281,Baradha,-21.98238387,148.9252572
282,Guwinmal,-22.2796681,149.7961573
283,Ngambaa,-30.81513541,152.8904795
284,Miyan,-21.812523,146.1838164
285,Yambina,-22.31402258,147.4752732
286,Yangga,-20.92842179,147.2562885
287,Barna,-22.080577,148.198529
288,Yuwibara,,
289,Yilba,-20.76682112,146.0479805
290,Biri,-20.50810089,147.9886074
291,Wiri,-21.29857522,148.7037816
292,Giya,-20.40181799,148.4629209
293,Ngaro,-20.29547471,148.9347367
294,Dhanggati ,-30.90641545,152.4169227
295,Gudjal,-19.70754326,145.4359956
296,Bindal,-19.56356855,147.1105586
297,Yuru,-19.82716687,147.6745532
298,Yetimarala,-22.8938418,149.4836174
299,Ganulu,-23.65544718,149.0109623
300,Mandalgu,-24.46598501,149.3824338
301,Yugarabul,-27.27760979,153.0252578
302,Gathang,-31.98263684,152.4155795
303,Ngarbal,-29.5277933,151.7814606
304,Nulla Nulla,,
305,Gumbaynggirr,-30.08764301,152.4456876
306,Burrgati,-30.42236063,151.9407368
307,Baryulgil,,
308,Birihn,-29.0479589,152.8588681
309,Casino language,-28.85403056,152.9873744
310,Warwick Dialect,,
311,Nyangbal,-28.92150486,153.4217926
312,Manaldjahli,-28.12654313,152.9146985
313,Nerang Creek,-28.08259432,153.2407725
314,Nganduwal,-28.35155366,153.303607
315,Ngarahgwal,-27.88614455,153.327907
316,Baanbay,-30.05901234,152.1110868
317,Wehlubal,-29.22442551,152.5517802
318,Jarowair,-27.21168959,151.6777654
319,Wapabara,-23.19138657,150.9668473
320,Rakiwara,-23.06916223,150.7806859
321,Karunbara,-23.53207334,150.1000323
322,Gambalamam,-30.37844644,152.6714792
323,Turubul,-27.50740343,153.0519336
324,Dungibara,-27.20096995,152.5522455
325,Garumngar,-27.35303324,152.6951351
326,Wuli Wuli,-25.30333447,150.6355846
327,Yunggaya,-29.46378932,153.2157736
328,Nalbo,-26.76927823,152.885895
329,Marbal,-29.11350479,151.8740972
330,Ngarabal,-29.48567462,152.6828852
331,Baddala,,
332,Undanbi,,
333,Guringay,-32.51345793,151.699335
334,Wudjebal,,
335,Nymboidan,,
336,Yirraygirr,,
337,Wangkamanha ,-24.33080067,137.4244147
338,Waluwarra,-21.76218641,138.4285574
339,Wonganya,,
340,Ayerrerenge,-21.39381083,137.4154269
341,Bularnu,-20.65668866,138.2747458
342,Kalkadoon,-20.88651298,139.8900199
343,Indjilandji,-19.32705207,137.4623768
344,Wakabunga,-19.53889197,139.0648189
345,Mayi-Thakurti,-19.94687087,140.6895015
346,Wunumara,-20.91311258,141.8532552
347,Ngawun,-19.80268514,141.9628637
348,Midjamba,,
349,Nguburinji,-18.53363767,139.0357774
350,Ulaolinya,,
351,Mayi-yapi,-19.07564608,140.4472208
352,Mbara,-19.84989287,143.3951331
353,Balgalu,,
354,Waanyi,-18.31324164,137.6208706
355,Mayi-kutuna,-19.12082465,139.8962502
356,Mayi-kulan,-18.78035758,141.8124153
357,Mingin,-18.022513,139.5527314
358,Kalibamu,,
359,Kukatj,-18.13210146,140.3651155
360,Gundara,-16.05243479,141.8155884
361,Kunkalanya,-23.6376703,139.2879856
362,Ganggalidda,,
363,Gkuthaarn,-17.36881657,141.1150622
364,Garandi,,
365,Kurtjar,-16.74729771,141.4175524
366,Yukulta ,-17.34123181,138.7513171
367,Kayardild,-17.03057864,139.4892236
368,Walangama,-17.88573416,141.9347315
369,Yangkaal,-16.90490667,138.9811434
370,Lardil,-16.56431398,139.4588913
371,Ogerliga,,
372,Rakaya,-23.42426015,140.1372183
373,Ngulupulu,-24.05636975,139.8175719
374,Parnkarra,-21.26027755,138.8104555
375,Dhidhani,-20.47735321,138.262116
376,Kapula,-22.13275818,138.5961317
377,Mayi-yali,-18.94153793,139.7478626
378,Marrago,-18.2705876,140.1666418
379,Bundjil,-20.04799721,146.3134247
380,Jangrala,-17.85144584,138.682737
381,Rangwa,,
382,Kok Narr,,
383,Wangka-yutjurru,-22.88173627,138.5657301
384,Kok Nhang,,
385,Baringkirri,,
386,Indjiladji,,
387,Lanima,,
388,Pitta Pitta,-22.62842257,139.7247443
389,Ringu Ringu,-22.87928251,140.2647726
390,Yalarnnga,-21.8218442,139.7132708
391,Yanda,-22.08473631,140.7388174
392,Goa,-22.03693923,142.3193515
393,Yawuru,-17.94389329,122.6253004
394,Warrwa,-17.27598142,124.013626
395,Walki,-17.84614056,127.0630252
396,Jaru,-18.51728972,128.2275775
397,Nyul Nyul,-17.02802875,122.7057293
398,Unggumi,-17.08878137,124.8691177
399,Bardi,-16.66816392,122.9022574
400,Jawi,-16.4424157,123.2675777
401,Worrorra,-15.62132645,124.8758709
402,Ngarinyin,-16.00384906,126.0054329
403,Guwij,-15.28945962,127.0496627
404,Jugun,-17.78656019,122.4450455
405,Gija ,-17.4239872,127.3910508
406,Wanyjirra,-18.10586567,129.7059148
407,Wunambal,-14.87939571,125.4637639
408,Andedja,-17.34859646,126.1280783
409,Waladjangari,,
410,Munumburu,-15.27784587,127.5277025
411,Wolyamidi,-15.63688402,127.3644225
412,Bemba,,
413,Arawari,,
414,Miriwoong ,-15.88629735,128.867674
415,Nyikina,-18.25939894,124.0608413
416,Malngin,-17.23515381,129.3537164
417,Wenambal,,
418,Yiiji,-15.13900438,127.9888676
419,Kuluwarrang,-16.37711391,127.9778658
420,Jiyil,-17.21705221,130.5393968
421,Wilawila,-15.0779801,127.0231169
422,Gunin,-14.62684779,127.6671493
423,Arnga,,
424,Gajirrawoong,-15.29300696,129.2746936
425,Mariung,,
426,Gambera,-14.21811415,126.3424611
427,Ngumbarl,-17.51518092,122.4915047
428,Gingara,,
429,Galamburu,,
430,Wirngir,,
431,Worla,-16.42768619,127.21894
432,Miwa,-14.12730414,127.0418156
433,Walar,,
434,Manungu,,
435,Djerag,,
436,Julbayi,-18.19674378,122.5361115
437,Umida,-16.32278166,123.8597133
438,Bunuba,-17.72474079,125.6051687
439,Doolboong,-15.03641569,128.4571656
440,Wawarl,-18.27033506,127.8501016
441,Ngarnawu,-16.18764992,127.2888469
442,Yawijibaya,-16.03065673,124.1487546
443,Marangan,-17.9700937,122.9971836
444,Unggarrangu,-16.69360094,123.6706818
445,Winjarumi,-15.30243643,124.259401
446,Ginan,,
447,Barunjin,,
448,Gulunggulu,,
449,Gooniyandi,-18.59096991,126.179024
450,Mailnga,,
451,Wulamban,,
452,Bayimbarr,-15.63267112,127.9739165
453,Giwajbem,-16.30951329,128.2513676
454,Andajin,,
455,Eastern Bunuba,,
456,Western Bunuba,,
457,Baard,,
458,Nyininy,-18.06933983,128.5856727
459,Jabirr Jabirr,-17.23238857,122.5274129
460,Nimanburru,-17.26473981,123.1341581
461,Narungga,-34.48186913,137.5910412
462,Adnyamathanha,-30.35021173,138.8825771
463,Pirlatapa,-29.83938464,140.1004248
464,Wadigali,-29.26078824,141.2096483
465,Arabana,-28.4169104,136.0837212
466,Dhirari,-28.59828909,137.7748382
467,Karenggapa,-29.17570723,142.66888
468,Gungadidji,-26.35189074,142.0252753
469,Dieri,-28.22809102,139.0584151
470,Yandruwandha,-28.32584186,140.3918776
471,Dhiraila,-28.01441455,142.2386919
472,Nauo ,-33.70399043,135.439736
473,Mambangurra,-28.6016663,141.7630213
474,Waidjinga,,
475,Ngamini,-26.9437721,138.9611802
476,Yawarrawarrka,-26.53440658,140.4391338
477,Wangkumara,-27.57048538,141.8854184
478,Punthamara,-27.34291427,143.5024351
479,Wangkangurru,-25.88626857,137.1817585
480,Karangura,-25.97487493,138.7338012
481,Kunandaburi,-26.63472562,142.5938623
482,Kaurna,-34.42714719,138.4084662
483,Nanduwara,,
484,Ngandangara,-26.82346778,143.2389399
485,Yarluyandi,-25.90446432,139.4987276
486,Karanya,-24.3855385,139.8671121
487,Marula,-25.35589258,141.6236496
488,Mithaka,-25.27295934,139.7382964
489,Karuwali,-24.9599361,141.0306774
490,Pirriya,-25.49161592,142.4902412
491,Gulumali,,
492,Kungkari,-24.53831202,144.2751922
493,Wadjabangai,-24.10558959,145.8108102
494,Nukunu,-32.8178302,138.0694391
495,Maiawali,-23.41919493,141.5875433
496,Iningai,-23.08563188,144.8746802
497,Yirandali,-21.1570842,144.2829284
498,Bidjara,-28.38567517,143.0055259
499,Yandjibara,-24.65633353,145.6108717
500,Parlpamardramardra,-27.51328333,141.2440087
501,Nhirrpi,-26.95530463,140.8402469
502,Matja,-27.32275325,139.9625406
503,Ngananhina,-26.33916333,140.960083
504,Marunuda,-24.93803946,139.5024115
505,Ngadjuri,-32.93016066,139.0812316
506,Midlaliri,-29.18670533,135.3837715
507,Mikiri-nganha,-25.73018833,137.1438555
508,Wangkakupa,-28.91430688,136.1604381
509,Piltapalta,-27.72217266,136.025876
510,Wangkatyaka,-27.49453191,137.5854732
511,Wailpi,-30.94840196,138.5829907
512,Yarrumada,-25.97429989,143.8487024
513,Minkabari,-28.87314392,142.6017432
514,Mundanbara,,
515,Parnkalla,-32.6883657,136.8100904
516,Ngura Wota,,
517,Kadli,,
518,Malintji,-23.53445817,142.9528968
519,Jura,,
520,Parpagunu,,
521,Ngurunta,-30.73320256,140.4828535
522,Parlpakurnu,-26.2572411,143.0398934
523,Eastern Wangkangurru,,
524,Northern Dhirari,,
525,Yadliawara,-31.09778577,139.8040762
526,Southern Dhirari,,
527,Malyangapa,-30.55622095,141.5672758
528,Kuyani,-29.99929809,137.9422167
529,Nangor,,
530,Kuwema,-12.85739216,130.425114
531,Gamalangga,,
532,Liyagawumirr,,
533,Marri Ngarr,-14.21069418,129.8507263
534,Guyamirrilili,,
535,Ritharrŋu,-12.97618751,135.3967658
536,Gulunggurr,,
537,Wägilak,,
538,Yalukal,,
539,Liyagalawumirr,,
540,Guyula,,
541,Pungupungu,-13.37733792,130.4467343
542,Lurlmarangu,,
543,Madarrpa,,
544,Marra,-15.04125841,135.4116298
545,Galwanuk,,
546,Ngaladharr,,
547,Budalpudal,,
548,Djambarrpuyngu,,
549,Dhuwaya,-12.2661061,136.8700978
550,Bilin,,
551,Birdingal,,
552,Birrkili,,
553,Dholpuyngu,,
554,Dhäpuyngu,,
555,Dätiwuy,,
556,Ding Ding,,
557,Djamundja,,
558,Djirin,,
559,Maydyara ,,
560,Malardordo,,
561,Mandatja,,
562,Manydjalpuyngu,,
563,Mandjikai,,
564,Marrangu,,
565,Marrungun,,
566,Miliwuru,,
567,Murru,,
568,Narrkala,,
569,Raijang,,
570,Ralwia,,
571,Ngaymil,,
572,Nungudulbuy,,
573,Djarrwark,,
574,Murngin,,
575,Dhay'yi,-13.37364795,135.7620122
576,Malarra,,
577,Matngala,-13.78862133,130.4336463
578,Warndarrang,-15.04294182,135.3450616
579,Ngarnka,-16.45167137,134.8262768
580,Dhurili,,
581,Gupapuyngu,,
582,Bunanatjini,,
583,Dhamalamirr,,
584,Gigi,,
585,Nunydjirrpi,,
586,Wubuy ,-13.8698099,135.5886143
587,Bararrngu,,
588,Maranunggu,-13.75854954,130.271628
589,Golpa,,
590,Warramirri,,
591,Wurruḻuḻ,,
592,Wurunggugu,,
593,Wangurri,,
594,Yithuwa,,
595,Manggalili,,
596,Binbinka,-16.36136512,136.0457131
597,Galpu,,
598,Makarrwanhalmirr,,
599,Gungarakayn,-13.23326924,130.825209
600,Rirratjingu,,
601,Gumatj,,
602,Marrakulu,,
603,Djarn,,
604,Dhalwangu,,
605,Bilamandyi,,
606,Djapu,,
607,Marradhanggimirr,,
